
AD: 853
2023-10-24 15:30:40.226359
AE: 52
2023-10-24 15:30:41.052927
AF: 112
2023-10-24 15:30:44.32489
AG: 70
2023-10-24 15:30:46.987754
AI: 3
2023-10-24 15:30:47.107168
AL: 1593
2023-10-24 15:30:47.297745
AM: 450
2023-10-24 15:30:54.095272
AO: 3791
2023-10-24 15:30:56.333983
AQ: 245
2023-10-24 15:31:02.577635
AR: 5452
2023-10-24 15:31:04.490341
AS: 3
2023-10-24 15:31:10.893984
AT: 11990
2023-10-24 15:31:11.252378
AU: 9575
2023-10-24 15:31:25.470302
AW: 3
2023-10-24 15:31:54.191326
AX: 39
2023-10-24 15:31:54.298981
AZ: 173
2023-10-24 15:31:54.567765
BA: 492
2023-10-24 15:31:56.521135
BB: 23
2023-10-24 15:31:57.084578
BD: 49
2023-10-24 15:31:58.865247
BE: 78896
2023-10-24 15:31:59.169631
BF: 778
2023-10-24 15:32:33.090921
BG: 2952
2023-10-24 15:32:34.01319
BH: 4
2023-10-24 15:32:41.415491
BI: 11196
2023-10-24 15:32:42.856182
BJ: 3262
2023-10-24 15:32:52.089838
BL: 6
2023-10-24 15:32:58.917588
BM: 56
2023-10-24 15:33:00.273393
BN: 49
2023-10-24 15:33:00.410898
BO: 3399
2023-10-24 15:33:00.768237
BR: 17903
2023-10-24 15:33:09.134227
BS: 63
2023-10-24 15:33:40.979291
BT: 68
2023-10-24 15:33:41.125796
BW: 947
2023-10-24 15:33:41.284312
BY: 32
2023-10-24 15:33:43.629991
BZ: 288
2023-10-24 15:33:43.795753
CA: 6895
2023-10-24 15:33:45.261064
CC: 7
2023-10-24 15:34:04.650427
CD: 137970
2023-10-24 15:34:05.025844
CF: 2852
2023-10-24 15:35:04.74965
CG: 2800
2023-10-24 15:35:09.939832
CH: 26294
2023-10-24 15:35:20.738646
CI: 5635
2023-10-24 15:35:51.188547
CK: 20
2023-10-24 15:35:59.348016
CL: 2145
2023-10-24 15:35:59.911141
CM: 20674
2023-10-24 15:36:10.1818
CN: 3060
2023-10-24 15:36:49.66528
CO: 3077
2023-10-24 15:40:53.088931
CR: 8419
2023-10-24 15:41:07.101691
CU: 1206
2023-10-24 15:41:18.310734
CV: 300
2023-10-24 15:41:23.224787
CW: 22
2023-10-24 15:41:23.5391
CX: 7
2023-10-24 15:41:23.650138
CY: 1460
2023-10-24 15:41:23.856584
CZ: 6897
2023-10-24 15:41:27.589305
DE: 27369
2023-10-24 15:41:38.450166
DJ: 36
2023-10-24 15:42:17.708296
DK: 3210
2023-10-24 15:42:17.965321
DM: 347
2023-10-24 15:42:24.734775
DO: 1004
2023-10-24 15:42:25.288811
DZ: 6341
2023-10-24 15:42:28.262929
EC: 3830
2023-10-24 15:42:36.424264
EE: 65
2023-10-24 15:42:44.911507
EG: 2044
2023-10-24 15:42:45.755292
EH: 9
2023-10-24 15:43:03.879511
ER: 459
2023-10-24 15:43:04.079873
ES: 39534
2023-10-24 15:43:07.27721
ET: 6984
2023-10-24 15:43:39.500545
FI: 5797
2023-10-24 15:43:51.760464
FJ: 93
2023-10-24 15:44:05.575511
FK: 34
2023-10-24 15:44:05.78357
FM: 8
2023-10-24 15:44:05.942929
FO: 123
2023-10-24 15:44:06.068433
FR: 173967
2023-10-24 15:44:09.920682
GA: 8336
2023-10-24 15:49:17.972285
GB: 10428
2023-10-24 15:49:28.852757
GD: 467
2023-10-24 15:49:38.552607
GE: 1161
2023-10-24 15:49:39.107438
GF: 3152
2023-10-24 15:49:40.803521
GG: 16
2023-10-24 15:49:50.060844
GH: 1520
2023-10-24 15:49:52.087801
GI: 24
2023-10-24 15:49:57.001039
GL: 528
2023-10-24 15:49:57.204829
GM: 109
2023-10-24 15:49:57.827008
GN: 2121
2023-10-24 15:49:58.079801
GP: 546
2023-10-24 15:50:05.537501
GQ: 1419
2023-10-24 15:50:06.118914
GR: 11658
2023-10-24 15:50:09.192848
GS: 45
2023-10-24 15:50:25.853511
GT: 1163
2023-10-24 15:50:26.394779
GU: 11
2023-10-24 15:50:30.024993
GW: 686
2023-10-24 15:50:30.190477
GY: 613
2023-10-24 15:50:30.866184
HK: 117
2023-10-24 15:50:31.506719
HM: 73
2023-10-24 15:50:33.247383
HN: 346
2023-10-24 15:50:33.527267
HR: 2575
2023-10-24 15:50:34.199257
HT: 192
2023-10-24 15:50:41.409254
HU: 5592
2023-10-24 15:50:41.963471
ID: 4052
2023-10-24 15:50:54.279382
IE: 947
2023-10-24 15:51:54.590086
IL: 1457
2023-10-24 15:51:56.178508
IM: 1
2023-10-24 15:52:00.654395
IN: 4454
2023-10-24 15:52:05.080193
IO: 16
2023-10-24 15:52:17.034513
IQ: 465
2023-10-24 15:52:18.080643
IR: 1841
2023-10-24 15:52:31.432161
IS: 580
2023-10-24 15:54:17.48042
IT: 26246
2023-10-24 15:54:21.215419
JE: 364
2023-10-24 15:54:53.876946
JM: 457
2023-10-24 15:54:54.28105
JO: 190
2023-10-24 15:54:54.970837
JP: 6379
2023-10-24 15:54:58.318132
KE: 9750
2023-10-24 15:55:33.028899
KG: 173
2023-10-24 15:55:51.355056
KH: 96
2023-10-24 15:55:51.887793
KI: 77
2023-10-24 15:55:52.163427
KM: 445
2023-10-24 15:55:52.343776
KN: 16
2023-10-24 15:55:52.760013
KP: 31
2023-10-24 15:55:53.41618
KR: 205
2023-10-24 15:55:56.567507
KW: 248
2023-10-24 15:55:59.705289
KY: 2
2023-10-24 15:56:00.004435
KZ: 1204
2023-10-24 15:56:00.981512
LA: 75
2023-10-24 15:56:08.385344
LB: 176
2023-10-24 15:56:10.605906
LC: 44
2023-10-24 15:56:11.315797
LI: 42
2023-10-24 15:56:11.477775
LK: 2731
2023-10-24 15:56:11.884555
LR: 2062
2023-10-24 15:56:17.998967
LS: 112
2023-10-24 15:56:23.606779
LT: 205
2023-10-24 15:56:25.831529
LU: 2557
2023-10-24 15:56:26.497677
LV: 96
2023-10-24 15:56:33.906594
LY: 406
2023-10-24 15:56:34.452573
MA: 5744
2023-10-24 15:56:37.829478
MC: 59
2023-10-24 15:56:50.376545
MD: 1242
2023-10-24 15:56:50.602808
ME: 1172
2023-10-24 15:56:53.606581
MG: 14619
2023-10-24 15:56:55.326385
MH: 9
2023-10-24 15:57:05.238878
MK: 404
2023-10-24 15:57:07.904871
ML: 601
2023-10-24 15:57:08.947867
MM: 246
2023-10-24 15:57:10.58425
MN: 121
2023-10-24 15:57:13.180572
MO: 19
2023-10-24 15:57:13.448957
MP: 11
2023-10-24 15:57:13.594884
MQ: 234
2023-10-24 15:57:13.743047
MR: 181
2023-10-24 15:57:14.135856
MS: 29
2023-10-24 15:57:14.435226
MT: 58
2023-10-24 15:57:14.59378
MU: 333
2023-10-24 15:57:14.759452
MV: 101
2023-10-24 15:57:15.095441
MW: 5417
2023-10-24 15:57:17.001461
MX: 12854
2023-10-24 15:57:32.583086
MY: 873
2023-10-24 15:59:18.408249
MZ: 5623
2023-10-24 15:59:22.359404
NC: 2374
2023-10-24 15:59:28.51096
NE: 662
2023-10-24 15:59:34.882238
NF: 69
2023-10-24 15:59:37.859359
NG: 3020
2023-10-24 15:59:38.427583
NI: 185
2023-10-24 15:59:44.364631
NL: 13338
2023-10-24 15:59:44.779346
NO: 2620
2023-10-24 16:00:07.220176
NP: 446
2023-10-24 16:02:26.190818
NU: 1
2023-10-24 16:02:27.274689
NZ: 1325
2023-10-24 16:02:27.769
OM: 198
2023-10-24 16:02:29.543151
PA: 1226
2023-10-24 16:02:32.042404
PE: 3718
2023-10-24 16:02:37.226666
PF: 174
2023-10-24 16:02:45.878002
PG: 2930
2023-10-24 16:02:46.353504
PH: 1662
2023-10-24 16:02:56.82831
PK: 130
2023-10-24 16:03:10.874066
PL: 8216
2023-10-24 16:03:12.246686
PM: 19
2023-10-24 16:03:25.601338
PN: 2
2023-10-24 16:03:25.741609
PR: 1346
2023-10-24 16:03:25.919071
PS: 219
2023-10-24 16:03:27.083819
PT: 8631
2023-10-24 16:03:29.90988
PW: 1
2023-10-24 16:03:41.440309
PY: 1355
2023-10-24 16:03:41.698709
QA: 4
2023-10-24 16:03:43.799402
RE: 2193
2023-10-24 16:03:43.957245
RO: 6914
2023-10-24 16:03:51.709889
RS: 408
2023-10-24 16:04:01.504246
RU: 7778
2023-10-24 16:04:17.713225
RW: 12466
2023-10-24 16:05:58.121748
SA: 405
2023-10-24 16:06:08.380016
SB: 31
2023-10-24 16:06:11.500809
SC: 668
2023-10-24 16:06:11.665305
SD: 1330
2023-10-24 16:06:12.489362
SE: 7472
2023-10-24 16:06:17.273831
SG: 150
2023-10-24 16:06:31.556414
SH: 59
2023-10-24 16:06:31.802381
SI: 1379
2023-10-24 16:06:32.066563
SJ: 179
2023-10-24 16:06:35.232737
SK: 2139
2023-10-24 16:06:35.639548
SL: 838
2023-10-24 16:06:46.659107
SM: 7
2023-10-24 16:06:47.803598
SN: 3197
2023-10-24 16:06:50.072573
SO: 546
2023-10-24 16:07:00.767524
SR: 2164
2023-10-24 16:07:01.633048
SS: 17
2023-10-24 16:07:07.439652
ST: 531
2023-10-24 16:07:07.590515
SV: 212
2023-10-24 16:07:08.17071
SX: 6
2023-10-24 16:07:09.941736
SY: 1089
2023-10-24 16:07:10.796451
SZ: 160
2023-10-24 16:07:18.405418
TC: 2
2023-10-24 16:07:18.647203
TD: 863
2023-10-24 16:07:18.925336
TF: 345
2023-10-24 16:07:21.925541
TG: 563
2023-10-24 16:07:22.336384
TH: 879
2023-10-24 16:07:27.596684
TJ: 640
2023-10-24 16:07:44.762945
TK: 20
2023-10-24 16:07:46.807654
TL: 1
2023-10-24 16:07:47.003752
TM: 468
2023-10-24 16:07:47.194505
TN: 3257
2023-10-24 16:07:48.011197
TO: 10
2023-10-24 16:07:54.920923
TR: 7539
2023-10-24 16:07:57.382875
TT: 429
2023-10-24 16:08:19.419414
TV: 3
2023-10-24 16:08:19.852525
TW: 1061
2023-10-24 16:08:20.723484
TZ: 24195
2023-10-24 16:08:29.876388
UA: 1237
2023-10-24 16:08:45.795369
UG: 6149
2023-10-24 16:08:54.879832
UM: 3
2023-10-24 16:09:03.819265
US: 38920
2023-10-24 16:09:28.760136
UY: 398
2023-10-24 16:14:31.762802
UZ: 832
2023-10-24 16:14:34.289406
VC: 45
2023-10-24 16:14:35.344265
VE: 2446
2023-10-24 16:14:35.934445
VG: 11
2023-10-24 16:14:43.21607
VI: 567
2023-10-24 16:14:43.38932
VN: 1216
2023-10-24 16:14:44.659856
VU: 105
2023-10-24 16:14:51.017008
WF: 25
2023-10-24 16:14:51.242986
